date,A1,A2,A3,A4,A5,A6,A7,A8,label
2021-02-02 06:30:00,6496.0,13533.0,15326.0,15132.0,2868.0,1139241,339821,72348,0
2021-02-02 06:40:00,7191.0,13818.0,17106.0,17160.0,3132.0,1149017,355465,74691,0
2021-02-02 06:50:00,8507.0,14920.0,19980.0,19982.0,3795.0,1189780,382453,80041,0
2021-02-02 07:00:00,10946.0,16594.0,25420.0,25332.0,4777.0,1263360,420755,91326,0
2021-02-02 07:10:00,12032.0,17051.0,27310.0,27232.0,5262.0,1296220,440216,94652,0
2021-02-02 07:20:00,14142.0,18576.0,32651.0,32916.0,6299.0,1327128,480740,103839,0
2021-02-02 07:30:00,17202.0,20366.0,39415.0,39172.0,7499.0,1414430,533733,117203,0
2021-02-02 07:40:00,19855.0,21384.0,45989.0,46067.0,8673.0,1468940,576442,128509,0
2021-02-02 07:50:00,22767.0,22060.0,52244.0,52347.0,10092.0,1532142,628344,142985,0
2021-02-02 08:00:00,28251.0,23734.0,64171.0,64429.0,12407.0,1609078,676966,168027,0
2021-02-02 08:10:00,31699.0,23505.0,73938.0,74624.0,13769.0,1667817,707646,181278,0
2021-02-02 08:20:00,35997.0,24469.0,83235.0,84018.0,15206.0,1724952,764099,200883,0
2021-02-02 08:30:00,41396.0,24977.0,96220.0,96095.0,17540.0,1739576,787957,223984,0
2021-02-02 08:40:00,45200.0,24680.0,106297.0,106268.0,19486.0,1761339,799254,241777,0
2021-02-02 08:50:00,52293.0,24795.0,121931.0,122353.0,22236.0,1759851,815485,268541,0
2021-02-02 09:00:00,60432.0,25403.0,144496.0,145131.0,26232.0,1706971,777872,305059,0
2021-02-02 09:10:00,66636.0,24126.0,156915.0,156878.0,28499.0,1657852,728617,328481,0
2021-02-02 09:20:00,70965.0,23342.0,175172.0,174668.0,29610.0,1677204,727582,351158,0
2021-02-02 09:30:00,75425.0,23435.0,187457.0,187843.0,31765.0,1664436,726565,374741,0
2021-02-02 09:40:00,77728.0,22329.0,197735.0,198091.0,32847.0,1658012,720019,391263,0
2021-02-02 09:50:00,82176.0,23402.0,203504.0,204381.0,34354.0,1694565,733965,411542,0
2021-02-02 10:00:00,88377.0,23592.0,234144.0,234567.0,37041.0,1692596,736748,454991,0
2021-02-02 10:10:00,89400.0,22965.0,241766.0,242532.0,38039.0,1639654,706920,467657,0
2021-02-02 10:20:00,90312.0,22814.0,243246.0,244904.0,38352.0,1635478,693064,476234,0
2021-02-02 10:30:00,92627.0,23083.0,247273.0,249182.0,39154.0,1657606,698613,491908,0
2021-02-02 10:40:00,94551.0,23310.0,251067.0,252629.0,39384.0,1637689,693878,493937,0
2021-02-02 10:50:00,96400.0,23407.0,254477.0,255559.0,39960.0,1660567,701477,507410,0
2021-02-02 11:00:00,98323.0,23190.0,257611.0,258939.0,41087.0,1672333,704903,518334,0
2021-02-02 11:10:00,98549.0,22458.0,256224.0,256753.0,40916.0,1644506,691955,513574,0
2021-02-02 11:20:00,98477.0,22572.0,259111.0,260003.0,41345.0,1660240,705381,518722,0
2021-02-02 11:30:00,95503.0,22713.0,250447.0,251760.0,40028.0,1716884,732128,511459,0
2021-02-02 11:40:00,91996.0,22488.0,238382.0,239659.0,39100.0,1721497,740027,496845,0
2021-02-02 11:50:00,89065.0,22296.0,233063.0,233950.0,37365.0,1768193,779489,488644,0
2021-02-02 12:00:00,85122.0,23049.0,220260.0,220812.0,35418.0,1836680,821961,472666,0
2021-02-02 12:10:00,80547.0,22257.0,201920.0,201811.0,33373.0,1754794,777437,436814,0
2021-02-02 12:20:00,79713.0,22604.0,199947.0,200934.0,32592.0,1756585,781606,435245,0
2021-02-02 12:30:00,78425.0,22869.0,197086.0,198469.0,32449.0,1788037,798434,434177,0
2021-02-02 12:40:00,79726.0,22670.0,199712.0,201049.0,32576.0,1792992,794928,441319,0
2021-02-02 12:50:00,81626.0,23392.0,204295.0,206410.0,33926.0,1835339,832843,454513,0
2021-02-02 13:00:00,86399.0,23810.0,220305.0,220511.0,35815.0,1851371,841892,489790,0
2021-02-02 13:10:00,89185.0,22920.0,231343.0,231716.0,36716.0,1774471,792287,496953,0
2021-02-02 13:20:00,91823.0,22793.0,226468.0,227207.0,37490.0,1758824,794482,501979,0
2021-02-02 13:30:00,91304.0,23015.0,226028.0,226771.0,38723.0,1761039,783697,506654,0
2021-02-02 13:40:00,93377.0,22878.0,227776.0,229890.0,38993.0,1752792,760529,507678,0
2021-02-02 13:50:00,94277.0,22278.0,231615.0,232024.0,39676.0,1786423,777356,517627,0
2021-02-02 14:00:00,97159.0,23105.0,239035.0,239806.0,40753.0,1784935,781106,528019,0
2021-02-02 14:10:00,95158.0,22926.0,236608.0,237030.0,39857.0,1735263,745836,518519,0
2021-02-02 14:20:00,94644.0,22772.0,236809.0,237725.0,39999.0,1719765,739081,520383,0
2021-02-02 14:30:00,94612.0,22501.0,238020.0,240927.0,39844.0,1724261,743353,516519,0
2021-02-02 14:40:00,94679.0,23138.0,236323.0,236667.0,39411.0,1727322,743032,516238,0
2021-02-02 14:50:00,96256.0,23804.0,238447.0,240160.0,40313.0,1769543,764643,522788,0
2021-02-02 15:00:00,97349.0,24324.0,248674.0,250461.0,40985.0,1797440,783602,543843,0
